Authors,Gas holdup,Column diameter(m),Liquid height (m),Sparger hole diameter (m),Sparger Encode,%FA,Density of Gas (kg/m3),Viscosity of Gas (Pa.s),Molecular Weight of gas (kg/kmol),Density of Liquid (kg/m3),Viscosity of Liquid (Pa.s),Surface Tension of Liquid (N/m),i+ (k.ion/m3),Temperature (K),Pressure (kPa),Superficial gas velocity (m/s)
Thorat et al 1998,0.1306,0.385,1.673537887,0.003,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0626
Thorat et al 1998,0.1588,0.385,1.619300961,0.003,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0791
Thorat et al 1998,0.1801,0.385,1.57821238,0.003,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.102
Thorat et al 1998,0.2083,0.385,1.523975454,0.003,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.128
Thorat et al 1998,0.2335,0.385,1.475490928,0.003,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.154
Thorat et al 1998,0.2485,0.385,1.446728922,0.003,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1766
Thorat et al 1998,0.2621,0.385,1.420432231,0.003,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2061
Thorat et al 1998,0.2732,0.385,1.399066169,0.003,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2356
Thorat et al 1998,0.089,0.385,0.350729332,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0071
Thorat et al 1998,0.1111,0.385,0.342227067,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0244
Thorat et al 1998,0.1162,0.385,0.340265006,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0302
Thorat et al 1998,0.1335,0.385,0.333593998,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0437
Thorat et al 1998,0.1451,0.385,0.329146659,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0498
Thorat et al 1998,0.1719,0.385,0.318813137,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0633
Thorat et al 1998,0.1899,0.385,0.311880521,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0793
Thorat et al 1998,0.212,0.385,0.303378256,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1025
Thorat et al 1998,0.2314,0.385,0.295922424,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1282
Thorat et al 1998,0.2395,0.385,0.292783126,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1535
Thorat et al 1998,0.249,0.385,0.289120612,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.177
Thorat et al 1998,0.2592,0.385,0.285196489,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2062
Thorat et al 1998,0.2956,0.385,0.271200453,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2351
Thorat et al 1998,0.3126,0.385,0.264660249,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2647
Thorat et al 1998,0.3231,0.385,0.260605323,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2939
Thorat et al 1998,0.0119,0.385,0.380421857,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0045
Thorat et al 1998,0.0459,0.385,0.36734145,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0074
Thorat et al 1998,0.0747,0.385,0.356223103,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0244
Thorat et al 1998,0.0931,0.385,0.349159683,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0299
Thorat et al 1998,0.1067,0.385,0.34392752,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0437
Thorat et al 1998,0.1352,0.385,0.332939977,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0501
Thorat et al 1998,0.1529,0.385,0.326138165,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0633
Thorat et al 1998,0.178,0.385,0.316458664,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.079
Thorat et al 1998,0.1889,0.385,0.312272933,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1018
Thorat et al 1998,0.1947,0.385,0.310049264,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1278
Thorat et al 1998,0.2195,0.385,0.300500566,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1539
Thorat et al 1998,0.2446,0.385,0.290821065,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1767
Thorat et al 1998,0.2677,0.385,0.281926387,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2059
Thorat et al 1998,0.2762,0.385,0.278656285,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2354
Thorat et al 1998,0.2905,0.385,0.273162514,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.264
Thorat et al 1998,0.2963,0.385,0.270938845,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2933
Thorat et al 1998,0.016,0.385,1.894236347,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0045
Thorat et al 1998,0.0402,0.385,1.847611543,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.007
Thorat et al 1998,0.0625,0.385,1.804762347,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0241
Thorat et al 1998,0.0809,0.385,1.769341412,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0305
Thorat et al 1998,0.0973,0.385,1.737673092,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.044
Thorat et al 1998,0.1051,0.385,1.722769589,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0501
Thorat et al 1998,0.1259,0.385,1.682705366,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0629
Thorat et al 1998,0.1443,0.385,1.647314419,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.079
Thorat et al 1998,0.1646,0.385,1.60821584,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1025
Thorat et al 1998,0.18,0.385,1.578450818,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1282
Thorat et al 1998,0.1931,0.385,1.553349076,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1539
Thorat et al 1998,0.195,0.385,1.549690426,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.177
Thorat et al 1998,0.2245,0.385,1.492889376,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2063
Thorat et al 1998,0.239,0.385,1.464999662,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2352
Thorat et al 1998,0.2501,0.385,1.443639541,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2645
Thorat et al 1998,0.2631,0.385,1.418549795,0.006,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.294
Thorat et al 1998,0.0276,0.385,1.871853602,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0048
Thorat et al 1998,0.0494,0.385,1.829892079,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0074
Thorat et al 1998,0.0717,0.385,1.787042883,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0244
Thorat et al 1998,0.0896,0.385,1.752552604,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0302
Thorat et al 1998,0.1065,0.385,1.719951628,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0437
Thorat et al 1998,0.1215,0.385,1.691059285,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0501
Thorat et al 1998,0.1414,0.385,1.652862373,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0636
Thorat et al 1998,0.1544,0.385,1.627729643,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0793
Thorat et al 1998,0.182,0.385,1.574640224,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1025
Thorat et al 1998,0.2028,0.385,1.534615986,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1282
Thorat et al 1998,0.2226,0.385,1.49645606,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1536
Thorat et al 1998,0.2381,0.385,1.466684041,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.177
Thorat et al 1998,0.2453,0.385,1.452784168,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.206
Thorat et al 1998,0.268,0.385,1.409041302,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2355
Thorat et al 1998,0.2757,0.385,1.394209772,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2648
Thorat et al 1998,0.2922,0.385,1.362590434,0.006,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.294
Thorat et al 1998,0.0336,0.385,1.860262828,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0037
Thorat et al 1998,0.0548,0.385,1.81959316,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0066
Thorat et al 1998,0.0733,0.385,1.78384283,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0238
Thorat et al 1998,0.0876,0.385,1.756435258,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0301
Thorat et al 1998,0.107,0.385,1.71904425,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0426
Thorat et al 1998,0.1221,0.385,1.68997675,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0489
Thorat et al 1998,0.1363,0.385,1.66254165,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0619
Thorat et al 1998,0.1493,0.385,1.6375821,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0783
Thorat et al 1998,0.1825,0.385,1.57359895,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1005
Thorat et al 1998,0.1964,0.385,1.546935775,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1273
Thorat et al 1998,0.2167,0.385,1.507827475,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1538
Thorat et al 1998,0.2293,0.385,1.4836745,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1756
Thorat et al 1998,0.2448,0.385,1.453684925,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2045
Thorat et al 1998,0.2578,0.385,1.4286657,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2348
Thorat et al 1998,0.047,0.385,1.834525,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0075
Thorat et al 1998,0.0695,0.385,1.79130875,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0242
Thorat et al 1998,0.0807,0.385,1.76971102,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0301
Thorat et al 1998,0.0919,0.385,1.748080373,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0439
Thorat et al 1998,0.1087,0.385,1.7156986,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0489
Thorat et al 1998,0.1264,0.385,1.681628025,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0615
Thorat et al 1998,0.1411,0.385,1.653342075,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0795
Thorat et al 1998,0.1619,0.385,1.6134272,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1005
Thorat et al 1998,0.1792,0.385,1.580126625,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1269
Thorat et al 1998,0.2115,0.385,1.51778935,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1529
Thorat et al 1998,0.2336,0.385,1.47537775,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1756
Thorat et al 1998,0.2509,0.385,1.442061775,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2058
Thorat et al 1998,0.2596,0.385,1.42534315,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.236
Thorat et al 1998,0.028,0.385,1.871058035,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0016
Thorat et al 1998,0.0405,0.385,1.846973013,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0071
Thorat et al 1998,0.0613,0.385,1.807077388,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0234
Thorat et al 1998,0.0798,0.385,1.77136883,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0305
Thorat et al 1998,0.0949,0.385,1.742277268,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0427
Thorat et al 1998,0.1113,0.385,1.710718625,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0494
Thorat et al 1998,0.126,0.385,1.682455775,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0619
Thorat et al 1998,0.1493,0.385,1.637576325,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0795
Thorat et al 1998,0.1683,0.385,1.60098015,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1005
Thorat et al 1998,0.1904,0.385,1.55855315,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1273
Thorat et al 1998,0.2033,0.385,1.533553175,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1529
Thorat et al 1998,0.2155,0.385,1.510226025,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1756
Thorat et al 1998,0.2336,0.385,1.475256475,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.205
Thorat et al 1998,0.2578,0.385,1.4286657,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2348
Thorat et al 1998,0.0143,0.385,0.379500006,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0071
Thorat et al 1998,0.0227,0.385,0.37624999,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0301
Thorat et al 1998,0.0312,0.385,0.373000012,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0423
Thorat et al 1998,0.0409,0.385,0.369249997,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0494
Thorat et al 1998,0.0558,0.385,0.363499983,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0619
Thorat et al 1998,0.0857,0.385,0.351999995,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1008
Thorat et al 1998,0.1169,0.385,0.340000045,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1268
Thorat et al 1998,0.1292,0.385,0.335249915,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1531
Thorat et al 1998,0.1662,0.385,0.32099991,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1757
Thorat et al 1998,0.1922,0.385,0.31099992,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.205
Thorat et al 1998,0.2305,0.385,0.296250185,0.014,3,0.135,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2347
Thorat et al 1998,0.0396,0.385,0.369749996,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0071
Thorat et al 1998,0.0481,0.385,0.366500019,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0297
Thorat et al 1998,0.0662,0.385,0.359499987,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0431
Thorat et al 1998,0.0844,0.385,0.352499994,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0485
Thorat et al 1998,0.0981,0.385,0.34724998,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0623
Thorat et al 1998,0.1039,0.385,0.34500004,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0791
Thorat et al 1998,0.137,0.385,0.332249995,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1004
Thorat et al 1998,0.1448,0.385,0.329250075,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1264
Thorat et al 1998,0.1623,0.385,0.32249987,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1531
Thorat et al 1998,0.1844,0.385,0.31399984,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1753
Thorat et al 1998,0.2084,0.385,0.30474983,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.205
Thorat et al 1998,0.2182,0.385,0.30099993,0.025,3,0.42,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2347
Thorat et al 1998,0.024,0.385,0.37574999,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0234
Thorat et al 1998,0.0377,0.385,0.370500015,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0297
Thorat et al 1998,0.0481,0.385,0.366500019,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0431
Thorat et al 1998,0.0649,0.385,0.359999987,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0494
Thorat et al 1998,0.0779,0.385,0.354999992,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0615
Thorat et al 1998,0.0929,0.385,0.349250017,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.0791
Thorat et al 1998,0.1227,0.385,0.337750105,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1004
Thorat et al 1998,0.137,0.385,0.332249995,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1268
Thorat et al 1998,0.1519,0.385,0.32650002,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1536
Thorat et al 1998,0.1656,0.385,0.32125016,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.1753
Thorat et al 1998,0.1909,0.385,0.311500035,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.205
Thorat et al 1998,0.2058,0.385,0.30575006,0.05,3,1.68,1.184,1.84E-05,28.84,1000,0.001,0.072,0,298,100,0.2347
Parasu Veera and Joshi 2000,0.0373,0.385,0.370642503,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0017
Parasu Veera and Joshi 2000,0.0649,0.385,0.360017389,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0049
Parasu Veera and Joshi 2000,0.0851,0.385,0.352237617,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0058
Parasu Veera and Joshi 2000,0.1304,0.385,0.334786375,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0217
Parasu Veera and Joshi 2000,0.159,0.385,0.32378269,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0266
Parasu Veera and Joshi 2000,0.1861,0.385,0.313351115,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0393
Parasu Veera and Joshi 2000,0.2009,0.385,0.307661585,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0464
Parasu Veera and Joshi 2000,0.2157,0.385,0.30197398,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0591
Parasu Veera and Joshi 2000,0.2319,0.385,0.2957185,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.075
Parasu Veera and Joshi 2000,0.2388,0.385,0.29307124,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0972
Parasu Veera and Joshi 2000,0.2688,0.385,0.28150661,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.1226
Parasu Veera and Joshi 2000,0.2791,0.385,0.277533795,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.1511
Parasu Veera and Joshi 2000,0.2909,0.385,0.27298887,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.1732
Parasu Veera and Joshi 2000,0.2973,0.385,0.270535265,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.2041
Parasu Veera and Joshi 2000,0.3066,0.385,0.266941675,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.2326
Parasu Veera and Joshi 2000,0.3258,0.385,0.259553525,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.2619
Parasu Veera and Joshi 2000,0.3322,0.385,0.257099535,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.2928
Parasu Veera and Joshi 2000,0.0294,0.385,0.747359305,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.004
Parasu Veera and Joshi 2000,0.0757,0.385,0.711684743,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0042
Parasu Veera and Joshi 2000,0.1127,0.385,0.68323409,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0201
Parasu Veera and Joshi 2000,0.1358,0.385,0.66540397,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0281
Parasu Veera and Joshi 2000,0.1659,0.385,0.6422647,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0416
Parasu Veera and Joshi 2000,0.194,0.385,0.6206354,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0456
Parasu Veera and Joshi 2000,0.2137,0.385,0.60546563,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0583
Parasu Veera and Joshi 2000,0.225,0.385,0.59674923,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0734
Parasu Veera and Joshi 2000,0.2373,0.385,0.58728362,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0995
Parasu Veera and Joshi 2000,0.2466,0.385,0.58009259,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.1233
Parasu Veera and Joshi 2000,0.2658,0.385,0.56531398,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.1502
Parasu Veera and Joshi 2000,0.2776,0.385,0.55622413,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.1724
Parasu Veera and Joshi 2000,0.2909,0.385,0.54600392,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.2041
Parasu Veera and Joshi 2000,0.3027,0.385,0.53691869,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.2318
Parasu Veera and Joshi 2000,0.3091,0.385,0.53201148,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.2627
Parasu Veera and Joshi 2000,0.3209,0.385,0.52292856,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.2935
Parasu Veera and Joshi 2000,0.092,0.385,1.048765064,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0232
Parasu Veera and Joshi 2000,0.1211,0.385,1.015186095,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0296
Parasu Veera and Joshi 2000,0.1467,0.385,0.985597305,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0408
Parasu Veera and Joshi 2000,0.1639,0.385,0.96567933,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0463
Parasu Veera and Joshi 2000,0.1802,0.385,0.94691058,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0598
Parasu Veera and Joshi 2000,0.1989,0.385,0.92529822,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0757
Parasu Veera and Joshi 2000,0.2146,0.385,0.907110435,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.0987
Parasu Veera and Joshi 2000,0.2309,0.385,0.8883567,0.001,3,0.42,1.18,1.82E-05,28.84,1000,0.000891,0.072,0,298,100,0.124
